,spiw,spiw,spiw,spiw,spiw,spiw,spiw,spiw,spiw,spiw
2004-08-20,136.00,135.00,135.00,136.00,138.00,144.00,149.00,149.00,148.00,147.00
2004-08-27,135.00,135.00,136.00,138.00,144.00,149.00,149.00,148.00,147.00,148.00
2004-09-03,135.00,136.00,138.00,144.00,149.00,149.00,148.00,147.00,148.00,149.00
2004-09-10,136.00,138.00,144.00,149.00,149.00,148.00,147.00,148.00,149.00,149.00
2004-09-17,138.00,144.00,149.00,149.00,148.00,147.00,148.00,149.00,149.00,148.00
2004-09-24,144.00,149.00,149.00,148.00,147.00,148.00,149.00,149.00,148.00,147.00
2004-10-01,149.00,149.00,148.00,147.00,148.00,149.00,149.00,148.00,147.00,147.00
2004-10-08,149.00,148.00,147.00,148.00,149.00,149.00,148.00,147.00,147.00,148.00
2004-10-15,148.00,147.00,148.00,149.00,149.00,148.00,147.00,147.00,148.00,148.00
2004-10-22,147.00,148.00,149.00,149.00,148.00,147.00,147.00,148.00,148.00,148.00
2004-10-29,148.00,149.00,149.00,148.00,147.00,147.00,148.00,148.00,148.00,148.00
2004-11-05,149.00,149.00,148.00,147.00,147.00,148.00,148.00,148.00,148.00,148.00
2004-11-12,149.00,148.00,147.00,147.00,148.00,148.00,148.00,148.00,148.00,148.00
2004-11-19,148.00,147.00,147.00,148.00,148.00,148.00,148.00,148.00,148.00,148.00
2004-11-26,147.00,147.00,148.00,148.00,148.00,148.00,148.00,148.00,148.00,147.00
2004-12-03,147.00,148.00,148.00,148.00,148.00,148.00,148.00,148.00,147.00,147.00
2004-12-10,148.00,148.00,148.00,148.00,148.00,148.00,148.00,147.00,147.00,147.00
2004-12-17,148.00,148.00,148.00,148.00,148.00,148.00,147.00,147.00,147.00,148.00
2004-12-24,148.00,148.00,148.00,148.00,148.00,147.00,147.00,147.00,148.00,150.00
2004-12-31,148.00,148.00,148.00,148.00,147.00,147.00,147.00,148.00,150.00,150.00
2005-01-07,148.00,148.00,148.00,147.00,147.00,147.00,148.00,150.00,150.00,152.00
2005-01-14,148.00,148.00,147.00,147.00,147.00,148.00,150.00,150.00,152.00,154.00
2005-01-21,148.00,147.00,147.00,147.00,148.00,150.00,150.00,152.00,154.00,155.00
2005-01-28,147.00,147.00,147.00,148.00,150.00,150.00,152.00,154.00,155.00,156.00
2005-02-04,147.00,147.00,148.00,150.00,150.00,152.00,154.00,155.00,156.00,156.00
2005-02-11,147.00,148.00,150.00,150.00,152.00,154.00,155.00,156.00,156.00,156.00
2005-02-18,148.00,150.00,150.00,152.00,154.00,155.00,156.00,156.00,156.00,156.00
2005-02-25,150.00,150.00,152.00,154.00,155.00,156.00,156.00,156.00,156.00,157.00
2005-03-04,150.00,152.00,154.00,155.00,156.00,156.00,156.00,156.00,157.00,159.00
2005-03-11,152.00,154.00,155.00,156.00,156.00,156.00,156.00,157.00,159.00,165.00
2005-03-18,154.00,155.00,156.00,156.00,156.00,156.00,157.00,159.00,165.00,165.00
2005-03-25,155.00,156.00,156.00,156.00,156.00,157.00,159.00,165.00,165.00,165.00
2005-04-01,156.00,156.00,156.00,156.00,157.00,159.00,165.00,165.00,165.00,164.00
2005-04-08,156.00,156.00,156.00,157.00,159.00,165.00,165.00,165.00,164.00,161.00
2005-04-15,156.00,156.00,157.00,159.00,165.00,165.00,165.00,164.00,161.00,158.00
2005-04-22,156.00,157.00,159.00,165.00,165.00,165.00,164.00,161.00,158.00,154.00
2005-04-29,157.00,159.00,165.00,165.00,165.00,164.00,161.00,158.00,154.00,154.00
2005-05-06,159.00,165.00,165.00,165.00,164.00,161.00,158.00,154.00,154.00,155.00
2005-05-13,165.00,165.00,165.00,164.00,161.00,158.00,154.00,154.00,155.00,153.00
2005-05-20,165.00,165.00,164.00,161.00,158.00,154.00,154.00,155.00,153.00,150.00
2005-05-27,165.00,164.00,161.00,158.00,154.00,154.00,155.00,153.00,150.00,148.00
2005-06-03,164.00,161.00,158.00,154.00,154.00,155.00,153.00,150.00,148.00,144.00
2005-06-10,161.00,158.00,154.00,154.00,155.00,153.00,150.00,148.00,144.00,140.00
2005-06-17,158.00,154.00,154.00,155.00,153.00,150.00,148.00,144.00,140.00,136.00
2005-06-24,154.00,154.00,155.00,153.00,150.00,148.00,144.00,140.00,136.00,131.00
2005-07-01,154.00,155.00,153.00,150.00,148.00,144.00,140.00,136.00,131.00,130.00
2005-07-08,155.00,153.00,150.00,148.00,144.00,140.00,136.00,131.00,130.00,135.00
2005-07-15,153.00,150.00,148.00,144.00,140.00,136.00,131.00,130.00,135.00,134.00
2005-07-22,150.00,148.00,144.00,140.00,136.00,131.00,130.00,135.00,134.00,135.00
2005-07-29,148.00,144.00,140.00,136.00,131.00,130.00,135.00,134.00,135.00,135.00
2005-08-05,144.00,140.00,136.00,131.00,130.00,135.00,134.00,135.00,135.00,136.00
2005-08-12,140.00,136.00,131.00,130.00,135.00,134.00,135.00,135.00,136.00,135.00
2005-08-19,136.00,131.00,130.00,135.00,134.00,135.00,135.00,136.00,135.00,134.00
2005-08-26,131.00,130.00,135.00,134.00,135.00,135.00,136.00,135.00,134.00,132.00
2005-09-02,130.00,135.00,134.00,135.00,135.00,136.00,135.00,134.00,132.00,132.00
2005-09-09,135.00,134.00,135.00,135.00,136.00,135.00,134.00,132.00,132.00,130.00
2005-09-16,134.00,135.00,135.00,136.00,135.00,134.00,132.00,132.00,130.00,128.00
2005-09-23,135.00,135.00,136.00,135.00,134.00,132.00,132.00,130.00,128.00,125.00
2005-09-30,135.00,136.00,135.00,134.00,132.00,132.00,130.00,128.00,125.00,123.00
2005-10-07,136.00,135.00,134.00,132.00,132.00,130.00,128.00,125.00,123.00,123.00
